31;­Absalom, Absalom!;203574;1936;330645;1450
99;Al faro;209510;1927;197171;1450
39;Almas muertas;204104;1842;379181;2220
91;Ana Karenina;208874;1877;306377;2220
66;Beloved;206542;1987;330645;1450
23;Berlin Alexanderplatz;203044;1929;318511;2110
79;Bostan;207920;1257;585459;3540
46;Casa de mu¤ecas;204740;1879;415583;2550
36;Cien a¤os de soledad;203892;1967;354913;2000
24;Crimen y castigo;203150;1866;306377;2220
73;Cuentos;207284;siglo XIX;330645;1450
6;Cuentos infantiles;201242;1835?37;172903;1560
70;1984;206966;1949;197171;1450
13;Cumbres Borrascosas;201984;1847;197171;1450
11;Decamer¢n;201772;1349?53;233573;1670
59;Diario de un loco;205906;1918;512655;3320
7;Divina comedia;201348;1265?1321;185037;1670
17;Don Quijote de la Mancha;202408;1605 (1¦ parte), 1615 (2¦ parte);282109;2000
85;Edipo rey;208344;430 a. C.;342779;2330
37;El amor en los tiempos del c¢lera;203892;1985;354913;2000
50;El castillo;204952;1926;451985;2110
57;El cuaderno dorado;205694;1962;197171;1450
14;El extranjero;202090;1942;257841;1780
29;El hombre invisible;203362;1952;330645;1450
68;El hombre sin atributos;206754;1930?32;536923;2110
25;El idiota;203150;1869;306377;2220
49;El proceso;204952;1925;451985;2110
83;El rey Lear;208238;1608;294243;1450
32;El ruido y la furia;203574;1929;330645;1450
52;El sonido de la monta¤a;205164;1954;476253;2880
40;El tambor de hojalata;204210;1959;391315;2110
43;El viejo y el mar;204528;1952;330645;1450
74;En busca del tiempo perdido;207390;1913?27;209305;1780
95;Eneida;209192;29?19 a. C.;549057;3430
81;Ensayo sobre la ceguera;208132;1995;561191;2440
64;Ensayos;206330;1595;209305;1780
38;Fausto;203998;1832;367047;2110
12;Ficciones;201878;1944?86;245707;2000
75;Gargant£a y Pantagruel;207496;1532?34;209305;1780
67;Genji Monogatari;206648;siglo XI;476253;2880
55;Gente independiente;205482;1934?35;148635;3100
41;Gran Sert¢n: Veredas;204316;1956;403449;2440
21;Grandes Esperanzas;202832;1861;197171;1450
90;Guerra y paz;208874;1865?1869;306377;2220
42;Hambre;204422;1890;415583;2550
82;Hamlet;208238;1603;294243;1450
78;Hijos de la medianoche;207814;1981;464119;1450
60;Hijos de nuestro barrio;206012;1959;524789;1230
54;Hijos y amantes;205376;1913;197171;1450
97;Hojas de hierba;209404;1855;330645;1450
44;Il¡ada;204634;850?750 a. C.;427717;2660
22;Jacques el fatalista;202938;1796;209305;1780
88;La conciencia de Zeno;208662;1923;185037;1670
34;La educaci¢n sentimental;203680;1869;209305;1780
65;La historia;206436;1974;185037;1670
62;La monta¤a m gica;206118;1924;318511;2110
92;La muerte de Iv n Ilich;208874;1886;306377;2220
98;La se¤ora Dalloway;209510;1925;197171;1450
93;Las aventuras de Huckleberry Finn;208980;1884;330645;1450
71;Las metamorfosis;207072;siglo I dC;549057;3430
3;Las mil y una noches;201030;700?1500;136501;1230
2;Libro de Jobÿ(de laÿBiblia);201030;SigloÿVI a. C.ÿ-ÿIV a. C.;124367;1120
72;Libro del desasosiego;207178;1928;561191;2440
69;Lolita;206860;1955;330645;1450
61;Los Buddenbrook;206118;1901;318511;2110
18;Los cuentos de Canterbury;202514;siglo XIV;294243;1450
26;Los endemoniados;203150;1872;306377;2220
27;Los hermanos Karamazov;203150;1880;306377;2220
89;Los viajes de Gulliver;208768;1726;221439;1450
33;Madame Bovary;203680;1857;209305;1780
96;Mahabh rata;209298;siglo IV a.C.;464119;2770
77;Masnavi;207708;1258?73;585459;3540
30;Medea;203468;431 a. C.;342779;2330
100;Memorias de Adriano;209616;1951;209305;1780
28;Middlemarch;203256;1871;197171;1450
63;Moby-Dick;206224;1851;330645;1450
10;Molloy,ÿMalone muere,ÿEl Innombrable, unaÿtrilog¡a;201666;1951?53;221439;1890
20;Nostromo;202726;1904;197171;1450
45;Odisea;204634;siglo VIII a. C.;427717;2660
8;Orgullo y prejuicio;201454;1813;197171;1450
84;Otelo;208238;1609;294243;1450
9;Pap  Goriot;201560;1835;209305;1780
76;Pedro P ramo;207602;1955;573325;2000
58;Pippi Calzaslargas;205800;1945;500521;3210
1;Poema de Gilgamesh;201030;Siglo XVII a. C.;112233;1010
15;Poemas;202196;1952;269975;2110
56;Poemas;205588;1818;185037;1670
94;Ramayana;209086;siglo III a. C.-siglo III d. C.;464119;2770
19;Relatos cortos;202620;1886;306377;2220
48;Relatos cortos;204952;1924;451985;2110
86;Rojo y negro;208450;1830;209305;1780
35;Romancero gitano;203786;1928;282109;2000
4;Saga de Nj l;201030;Siglo XIII;148635;1340
51;Shakuntala;205058;siglo I a. C.-IV d. C.;464119;2770
80;Tiempo de migrar al norte;208026;1966;597593;1230
5;Todo se desmorona;201136;1958;160769;1450
47;Ulises;204846;1922;439851;1450
16;Viaje al fin de la noche;202302;1932;209305;1780
87;Vida y opiniones del caballero Tristram Shandy;208556;1760;294243;1450
53;Zorba, el griego;205270;1946;488387;2990
