1;19
1;39
1;46
1;84
1;91
2;1
2;2
2;25
2;97
3;35
3;42
3;60
4;2
4;8
4;13
4;36
4;53
4;72
4;73
4;76
5;15
5;29
5;30
5;41
5;73
5;77
5;87
5;88
5;98
6;3
6;12
6;27
6;44
6;59
6;71
7;19
7;32
7;47
7;59
7;89
7;89
7;93
8;5
8;8
8;14
8;16
8;23
8;39
8;73
9;39
9;39
9;78
9;85
10;15
10;39
10;88
10;93
10;96
11;9
11;14
11;29
11;30
11;37
11;37
11;85
11;93
11;97
12;35
12;39
12;39
12;47
13;5
13;7
13;8
13;13
13;13
13;43
13;51
13;59
13;62
13;62
13;73
13;87
14;60
14;89
15;67
16;57
16;71
16;91
16;99
17;56
17;81
17;97
18;5
18;56
18;88
19;1
19;14
19;25
19;50
19;64
20;22
20;34
20;79
20;79
20;79
20;94
21;3
21;19
21;31
21;39
21;46
21;52
22;8
22;25
23;11
23;14
23;26
23;36
24;40
24;56
24;68
24;80
24;85
25;21
26;6
26;33
26;41
26;41
27;3
27;14
27;25
27;46
27;80
28;6
28;9
28;31
28;32
28;50
28;52
28;63
28;66
29;22
29;28
29;41
29;48
29;56
29;65
29;70
30;1
30;47
30;58
30;78
30;82
31;1
31;30
31;37
31;67
32;25
32;27
32;46
32;97
33;3
33;15
33;47
33;54
33;60
33;74
33;75
33;83
34;16
34;29
34;43
34;61
34;75
35;20
35;42
35;48
35;56
35;76
36;7
36;13
36;24
36;41
36;48
36;60
36;92
37;23
37;56
37;58
37;67
38;28
38;34
38;44
38;51
39;34
39;43
39;47
40;12
40;46
40;49
40;69
40;81
41;7
41;10
41;17
41;32
41;68
41;88
41;89
42;4
42;33
42;72
42;76
42;85
42;94
43;4
43;78
43;96
44;47
44;89
45;43
45;62
45;62
45;75
45;92
45;97
46;29
46;29
46;31
46;35
46;61
46;74
46;77
46;80
47;8
47;29
47;68
47;68
47;70
47;95
47;99
48;7
48;13
48;27
48;38
48;40
48;59
48;68
48;75
48;75
48;82
48;98
49;2
49;19
49;55
49;58
49;63
49;68
49;78
49;99
50;18
50;36
50;37
50;47
50;57
50;62
50;82
50;96
50;97
51;8
51;10
51;20
51;71
51;79
51;94
52;9
52;17
52;77
52;98
53;4
53;20
53;25
53;47
53;49
54;26
54;84
54;89
55;13
55;61
55;69
55;73
55;75
55;89
55;96
56;9
56;46
56;67
56;77
56;87
57;2
57;13
57;15
57;21
57;46
57;57
57;68
57;69
57;79
58;2
58;16
58;17
58;18
58;36
58;44
58;90
59;42
59;58
59;71
59;79
59;97
60;3
60;12
60;15
60;18
60;49
60;58
60;66
60;76
61;6
61;28
61;54
61;56
61;82
61;95
61;100
62;13
62;32
62;54
62;82
62;82
63;12
63;25
63;42
63;66
63;77
63;87
63;87
64;28
64;54
64;73
65;4
65;57
65;75
65;91
66;28
66;45
66;80
66;85
67;30
67;30
67;32
67;37
67;60
67;70
68;4
68;9
68;34
68;51
68;52
68;68
68;93
68;100
69;4
69;4
69;6
69;30
69;44
69;61
69;67
69;77
69;91
69;91
70;57
70;67
70;89
71;8
71;70
71;73
72;12
72;20
72;54
72;74
72;86
73;49
73;73
74;9
74;21
74;24
74;35
74;44
74;73
74;83
75;25
75;79
75;83
76;9
76;31
76;50
76;50
76;59
76;60
76;67
76;83
77;15
77;88
78;23
78;36
78;42
78;73
78;80
79;1
79;5
79;22
79;35
79;39
79;55
79;74
79;95
80;1
80;36
80;45
81;2
81;3
81;16
81;28
81;35
81;42
81;44
81;54
81;89
81;91
82;2
82;11
82;19
82;21
82;37
82;71
82;88
83;46
83;78
83;88
83;91
84;28
84;75
84;82
85;13
85;15
85;25
85;54
85;67
85;88
86;18
86;34
86;46
86;53
86;63
86;80
87;21
87;43
87;72
88;18
88;20
88;41
88;54
88;56
88;58
88;59
88;62
88;72
88;95
89;21
89;29
89;53
90;5
90;46
90;54
90;60
91;8
91;11
91;13
91;23
91;32
91;77
92;8
92;31
92;45
92;63
92;77
92;91
93;66
93;67
93;91
93;95
94;3
94;8
94;14
94;35
94;68
94;70
94;74
95;16
95;35
95;36
95;48
95;53
95;71
95;72
95;79
95;85
96;34
96;45
96;64
96;67
96;79
97;4
97;7
97;45
97;59
97;84
97;94
98;11
98;11
98;57
98;61
98;66
98;69
98;88
98;96
99;26
99;45
99;68
99;80
100;20
100;68
100;75
100;88
100;90
101;3
101;10
101;38
101;53
101;62
101;63
101;65
101;77
101;85
101;89
101;94
102;7
102;16
102;39
102;43
102;51
102;86
103;8
103;18
103;26
103;32
103;37
103;55
103;64
104;21
104;70
104;72
104;81
104;84
104;93
105;7
105;27
105;50
105;85
105;95
106;19
106;34
106;67
107;3
107;19
107;44
107;57
